"race_state","year","state","mean_spread","sd_spread","mean_spread_act","n_polls","ci_lower","ci_upper","outside_ci"
"2008_Sen-G_OK",2008,"OK",13.34,3.90102550619706,17.5,5,9.92060038018368,16.7593996198163,1
"2008_Sen-G_OR",2008,"OR",-4.4,2.91356978445495,-3.35,10,-6.20584926158181,-2.59415073841819,0
"2008_Sen-G_SD",2008,"SD",-23.3333333333333,1.52752523165195,-24.98,3,-25.0618908565622,-21.6047758101045,0
"2008_Sen-G_TN",2008,"TN",24.3333333333333,3.21455025366432,33.5,3,20.6957272829511,27.9709393837156,1
"2008_Sen-G_TX",2008,"TX",10.5,3.87298334620742,11.98,4,6.70447632071673,14.2955236792833,0
"2008_Sen-G_VA",2008,"VA",-27.8333333333333,3.3257489473209,-31.3,12,-29.7150529423263,-25.9516137243404,1
"2008_Sen-G_WV",2008,"WV",-20,3.46410161513775,-27.47,3,-23.92,-16.08,1
"2008_Sen-G_WY",2008,"WY",37.25,12.3928742966809,51.37,4,25.1049831892527,49.3950168107473,1
"2010_House-GS_PA",2010,"PA",-2.75,4.99165971062398,-7.5,4,-7.6418265164115,2.1418265164115,0
"2010_House-G_AR",2010,"AR",8.33333333333333,18.4788167009326,13.8833333333333,6,-6.45279950945029,23.119466176117,0
"2010_House-G_AZ",2010,"AZ",-0.666666666666667,3.21455025366432,8.63333333333333,3,-4.30427271704895,2.97093938371561,1
"2010_House-G_CA",2010,"CA",2.25,6.84957419601151,-2.325,4,-4.46258271209128,8.96258271209128,0
"2010_House-G_CT",2010,"CT",-3.83333333333333,11.9902738361835,-13.5666666666667,6,-13.4275505731317,5.76088390646505,1
"2010_House-G_FL",2010,"FL",7,5.04975246918104,12.06,5,2.5736968020706,11.4263031979294,1
"2010_House-G_GA",2010,"GA",10.7714285714286,10.9650527108802,7.17142857142858,7,2.64840384743156,18.8944532954256,0
"2010_House-G_HI",2010,"HI",-21,34.8711915483254,-19.9,3,-60.4604679816818,18.4604679816818,0
"2010_House-G_ID",2010,"ID",12.3333333333333,32.8075194632775,21.2666666666667,3,-24.7918698460583,49.458536512725,0
"2010_House-G_IL",2010,"IL",4.25,9.34650431215558,1.175,8,-2.22679704792423,10.7267970479242,0
"2010_House-G_IN",2010,"IN",0.2,14.4810220633766,9.4,5,-12.4931754892147,12.8931754892147,0
"2010_House-G_KY",2010,"KY",-9.75,11.5,-8.075,4,-21.02,1.52,0
"2010_House-G_MA",2010,"MA",-10.3333333333333,5.98887858172685,-8.5,6,-15.1254342411932,-5.54123242547349,0
"2010_House-G_ME",2010,"ME",-10,9.73652915571047,-11.9,6,-17.7908459104259,-2.2091540895741,0
"2010_House-G_MI",2010,"MI",1.44444444444444,11.2928197443233,5.32222222222223,9,-5.93353112184677,8.82242001073566,0
"2010_House-G_MN",2010,"MN",-7.75,6.39661368746516,-3.575,4,-14.0186814137159,-1.48131858628414,0
"2010_House-G_MO",2010,"MO",8.83333333333333,21.5532673470482,14.5333333333333,3,-15.5564846879458,33.2231513546124,0
"2010_House-G_MS",2010,"MS",1.75,2.5,0.200000000000001,4,-0.7,4.2,0
"2010_House-G_NC",2010,"NC",0.5,10.821275340735,-5.4,6,-8.15882363064791,9.15882363064791,0
"2010_House-G_ND",2010,"ND",6,6.08276253029822,9.8,3,-0.883293785197123,12.8832937851971,0
"2010_House-G_NH",2010,"NH",5,5.59761854124889,6.55,4,-0.485666170423911,10.4856661704239,0
"2010_House-G_NJ",2010,"NJ",-1.71428571428571,23.0124190073844,-0.542857142857142,7,-18.7621242869611,15.3335528583897,0
"2010_House-G_NM",2010,"NM",4.25,3.20156211871642,3.6,4,1.1124691236579,7.3875308763421,0
"2010_House-G_NY",2010,"NY",-2.27272727272727,6.73930128560683,3.79090909090909,11,-6.25539982531769,1.70994527986314,1
"2010_House-G_OH",2010,"OH",7.66666666666667,10.9696551146029,4.26666666666667,3,-4.74666666666667,20.08,0
"2010_House-G_OR",2010,"OR",-5.5,8.63547500554709,-8.8125,8,-11.4840788764855,0.484078876485502,0
"2010_House-G_PA",2010,"PA",-2.18181818181818,12.1311020259347,6.90909090909091,11,-9.35084135259539,4.98720498895903,1
"2010_House-G_RI",2010,"RI",-10.75,16.3579746097533,-11.525,4,-26.7808151175582,5.28081511755823,0
